NUMMER,AUSGESCHALTET_TXT,BELEUCHTUNGSTYP_TXT,BAUART_TXT,E,N
3,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684358.763,1252818.186
1,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684341.405,1253588.815
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684363.234,1253579.365
56,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684596.95,1252619.325
43,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684700.409,1252558.414
2,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684378.582,1252784.146
81,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684398.411,1252707.916
70,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684494.321,1252693.675
62,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684545.35,1252649.825
33,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684501.145,1253032.494
48,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684568.936,1253162.653
19,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684686.874,1253917.627
16,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684908.209,1252447.893
13,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684932.649,1252433.443
8,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684974.549,1252396.953
7,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684980.179,1252405.433
6,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684986.489,1252365.363
5,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684993.659,1252377.013
89,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684791.998,1253378.01
100,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685106.427,1253481.117
111,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2685448.199,1253583.443
114,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685539.863,1253618.238
28,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685637.941,1253901.823
46,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685805.793,1252437.72
57,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685778.167,1253214.858
65,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2685828.366,1253034.422
42,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685711.937,1253550.823
44,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685718.937,1253515.823
102,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686160.886,1251612.982
109,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686168.956,1251586.524
114,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686258.154,1251689.107
118,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686295.613,1251780.163
121,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686308.711,1251859.273
2,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686233.472,1252147.706
15,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686311.802,1252031.446
32,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686069.002,1252356.436
30,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686098.632,1252362.206
25,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686196.512,1252337.236
5105,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686602.109,1244975.711
5102,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Queraufhängung,2686551.65,1245039.96
5103,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686568.76,1245019.999
4,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686403.738,1252197.017
5112,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686733.623,1244835.046
141,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung muss angepasst werden",nicht definiert,2683879.286,1253965.457
8,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684402.673,1252825.666
17,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684437.144,1252909.855
77,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684443.152,1252725.126
76,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684450.301,1252677.556
23,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684466.484,1252946.755
73,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684474.141,1252662.095
35,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684496.835,1253070.164
43,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684552.146,1253111.083
50,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684563.287,1253197.293
56,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684591.287,1253247.442
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684393.121,1253602.032
9,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684513.035,1253741.611
15,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684644.014,1253848.15
18,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684661.884,1253892.56
42,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684706.679,1252569.484
39,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684733.419,1252554.244
30,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684795.589,1252479.304
22,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684860.069,1252476.473
9,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684959.819,1252382.583
3,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685024.039,1252389.933
78,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684713.018,1253327.161
25,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684812.105,1254040.008
26,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684834.855,1254062.648
102,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685163.768,1253498.141
110,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685419.79,1253573.773
39,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685677.938,1253636.823
118,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685632.462,1253709.059
119,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685649.171,1253721.068
20,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685566.943,1254105.823
22,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685617.943,1254075.822
48,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685779.032,1252412.708
50,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685788.475,1252426.858
56,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685784.934,1253243.824
68,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685847.053,1253105.791
40,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685699.938,1253614.823
50,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685749.936,1253380.824
111,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686201.897,1251628.593
8,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686308.502,1251895.96
20,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686239.082,1252098.096
17,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686291.098,1252137.936
15,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Beton,2686292.275,1252108.938
11,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686311.403,1251993.059
2,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686341.205,1252189.131
13,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686363.012,1252033.726
29,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686125.462,1252354.896
5107,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686634.763,1244932.61
12,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686389.292,1252034.906
8,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium,2686494.894,1252180.503
9,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium mit VRA-Anlage,2686517.366,1252180.035
6,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686529.142,1252040.756
63,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684533.76,1252629.365
79,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684424.411,1252692.706
71,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684489.981,1252686.595
65,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684527.091,1252662.305
36,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684514.025,1253057.614
51,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684583.097,1253189.073
52,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684593.036,1253182.763
71,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684675.208,1253287.052
76,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684701.808,1253299.391
2,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684373.802,1253600.399
5,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684421.962,1253658.898
10,Beleuchtung eingeschaltet,nicht definiert,Stahl mit Ausleger,2684535,1253763
17,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684661.094,1253870.54
33,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684769.469,1252494.684
20,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684878.709,1252453.253
19,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684884.259,1252462.063
17,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684902.689,1252439.113
10,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684956.149,1252419.543
88,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2684759.018,1253361.671
105,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685248.768,1253523.094
115,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685565.078,1253635.968
35,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685665.939,1253751.823
51,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2685760.161,1252454.379
40,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2685934.581,1252402.181
37,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685987.132,1252386.186
55,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685764.935,1253252.824
63,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung muss angepasst werden",Aluminium,2685787.104,1253004.565
49,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685728.936,1253398.824
53,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685746.935,1253316.824
104,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686198.093,1251656.96
106,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686237.649,1251698.499
116,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686286.432,1251728.736
119,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686302.096,1251801.991
120,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686307.652,1251828.846
9,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686313.657,1251930.041
1,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686236.322,1252121.756
21,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686265.866,1252247.979
1,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2686311.478,1252184.354
31,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686074.376,1252381.734
1,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686168.072,1252367.656
5106,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686618.617,1244953.829
5101,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Queraufhängung,2686529.315,1245058.872
11,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium,2686568.803,1252179.917
13,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Aluminium,2686633.292,1252184.131
55,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684602.04,1252628.055
50,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684648.629,1252588.824
49,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684653.839,1252597.565
13,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684396.874,1252883.025
80,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684412.642,1252732.596
10,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684412.893,1252839.615
78,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684418.621,1252714.786
19,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684425.834,1252934.105
22,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684439.804,1252960.685
20,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684450.184,1252934.875
69,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684494.85,1252652.395
67,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684513.371,1252681.445
61,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684550.9,1252658.185
26,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684456.235,1252992.494
29,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684471.715,1253021.994
27,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684475.874,1252984.144
39,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684527.365,1253082.804
53,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684577.707,1253224.513
59,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684604.378,1253268.412
55,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684608.177,1253203.852
67,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684649.797,1253271.622
68,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684654.447,1253266.872
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684465.485,1253675.57
7,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684468.763,1253701.983
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684496.715,1253699.747
14,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684630.404,1253856.94
36,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684748.819,1252503.134
34,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684763.259,1252513.724
31,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684786.519,1252521.994
29,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684805.919,1252496.104
14,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684926.829,1252424.883
86,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684730.688,1253363.131
91,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Unterführungsleuchte,2684840.344,1253407.669
95,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684961.834,1253438.566
96,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684991.144,1253447.196
20,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684720.784,1253948.489
24,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684789.925,1254017.798
27,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684861.785,1254089.148
28,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684886.405,1254113.848
109,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685391.134,1253564.848
112,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2685485.291,1253600.568
34,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685651.94,1253785.823
25,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685624.942,1253987.823
36,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686006.629,1252396.166
58,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685801.934,1253203.824
64,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2685810.194,1253015.964
60,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685825.934,1253161.824
69,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685843.964,1253135.568
47,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685728.937,1253472.823
48,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685738.936,1253426.823
5492,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686080.908,1244823.423
103,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686178.878,1251635.736
110,Beleuchtung eingeschaltet,"beleuchtet, nicht überbautes Gebiet, Beleuchtung technisch in Ordnung",Stahl gerade,2686181.392,1251606.103
23,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686243.132,1252298.906
34,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686035.967,1252389.889
33,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2686040.742,1252374.946
5108,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686651.401,1244911.375
5109,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2686670.628,1244889.359
