NEKK_COD,NEKK_BEZ,LIMNEK_COD,LIMNEK_BEZ,KNG_COD,KNG_BEZ,NEKK_LBL,B_JAHR,B_GRUNDLAGE,SHAPE.AREA,SHAPE.LEN
5,5 - Futterbaubetonte Fruchtfolge,B,Klimatisches Nutzungsgebiet,3,3 - Übergangsgebiet futterbaubetont,5B,1988-97,BoKa-ZH,36895.368964885,1168.517985343
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,3137.630407445,220.917809182131
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,5550.62700884,328.15784180846504
10,10 - Streueland,F,Fremdnässe,1,1 - Ackerbaugebiet,10F,1988-97,BoKa-ZH (Einzelfall),82565.85605215,1280.93839745377
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,1,1 - Ackerbaugebiet,5L,1988-97,BoKa-ZH (Einzelfall),15504.73655695,990.2444247052961
9,9 - Extensives Wies- und Weideland,L,Lage im Relief,4,4 - Futterbaugebiet,9L,1988-97,BoKa-ZH (Einzelfall),6883.11085915,549.766202478665
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,7858.46038236,724.6194711225751
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,8952.018922615,851.899886695346
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,3486.29674916,300.950406762445
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,22776.77992511,781.6097072096471
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,21522.76664382,764.0355154075701
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,10863.362158365,606.053959362464
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1850.4734853,849.910838138767
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,3708.62120482,260.19948938147104
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,3939.734605695,431.221290134524
9,9 - Extensives Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,9N,1988-97,BoKa-ZH,8329.017108025,401.455744577282
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,5711.3439056,413.198245560245
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),937.02846105,153.64088460062902
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,2G,1988-97,BoKa-ZH,30387.49753959,1233.57727406409
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,487.33910061,117.23436345861201
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH (Einzelfall),6375.370888885,495.71569308620104
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1533.41339792,258.292821584118
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),6560.67307,700.4576210308301
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,31601.10270264,1677.9098791389702
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,9316.34032155,446.385606879306
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,3,3 - Übergangsgebiet futterbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),349.32683008,123.83819218466401
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,3,3 - Übergangsgebiet futterbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),320.919497455,97.22501003509879
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,152.2581025,111.805062572112
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,1,1 - Ackerbaugebiet,7L,1988-97,BoKa-ZH (Einzelfall),46678.72551193,1983.9757706434302
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,707.95266096,179.210061064367
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,24162.66133165,965.145394511327
5,5 - Futterbaubetonte Fruchtfolge,kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,5,2009,FFF-Revision 09,23659.264976115002,763.164305320494
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,1,1 - Ackerbaugebiet,7L,1988-97,BoKa-ZH (Einzelfall),8546.530679135001,342.97880300326705
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,134552.330015685,2694.1949341528
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,8640.181575,395.943318780407
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",I,Staunässe,1,1 - Ackerbaugebiet,6I,1988-97,BoKa-ZH,57639.363313565,1424.23021062161
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),727.79969104,206.976084792211
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,7871.672684215,569.5790360726021
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),9208.883531355,1440.64477271125
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1999.05991925,269.04672569672897
3,3 - Getreidebetonte Fruchtfolge 1. Güte,,,1,1 - Ackerbaugebiet,3,1988-97,BoKa-ZH,25196.949868565003,1178.0186363384
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),448.82980204,209.347721796772
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,5N,1988-97,BoKa-ZH,250.198713365,70.94025692454109
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,2,2 - Übergangsgebiet ackerbaubetont,3I,1988-97,BoKa-ZH,29450.510566805002,782.765479810524
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH (Einzelfall),17339.091630805,730.401160090592
4,4 - Getreidebetonte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,4G,1988-97,BoKa-ZH (Einzelfall),9450.742009,401.544630352115
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,40796.816049565,1231.70302577953
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",F,Fremdnässe,1,1 - Ackerbaugebiet,6F,1988-97,BoKa-ZH,41880.59621189,1183.95390167366
4,4 - Getreidebetonte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,4S,2009,FFF-Revision 09 (BoKa-ZH),53.10848,119.94255841777901
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,7N,1988-97,BoKa-ZH,29180.457640655,1188.91764764327
1,1 - Uneingeschränkte Fruchtfolge 1. Güte,,,1,1 - Ackerbaugebiet,1,1988-97,BoKa-ZH,73080.20397887,1420.7640923672902
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,11288.11286212,984.8755391342161
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,3,3 - Übergangsgebiet futterbaubetont,7N,1988-97,BoKa-ZH,24017.12672129,1019.0061125483301
2-5,Bereich 2-5,kA,keine Angabe,2,2 - Übergangsgebiet ackerbaubetont,2-5,2009,FFF-Revision 09,6802.851284075,462.933227641037
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,22880.98025836,806.7584459926361
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,278.57829525,77.2706242361573
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1478.44479087,233.637079590508
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,46997.40558216,1812.1914307754203
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,2,2 - Übergangsgebiet ackerbaubetont,7L,1988-97,BoKa-ZH (Einzelfall),3620.42983228,242.28215007146503
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",S,Bodenskelett,3,3 - Übergangsgebiet futterbaubetont,6S,1988-97,BoKa-ZH,10516.19657466,578.779656532571
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),263.917610635,111.83683761754202
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,2,2 - Übergangsgebiet ackerbaubetont,5F,1988-97,BoKa-ZH (Einzelfall),42146.19251838,1248.9868270331701
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1941.5785168,277.97880396381305
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,3,3 - Übergangsgebiet futterbaubetont,7N,2009,FFF-Revision 09 (BoKa-ZH),7574.70222558,496.24614273136103
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,3,3 - Übergangsgebiet futterbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),7708.48379118,759.60795997851
5,5 - Futterbaubetonte Fruchtfolge,B,Klimatisches Nutzungsgebiet,3,3 - Übergangsgebiet futterbaubetont,5B,1988-97,BoKa-ZH,4732.823729025,352.17352906176296
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),430.41032690500003,93.2815543536947
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH (Einzelfall),28575.47125514,859.4557745071371
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",I,Staunässe,1,1 - Ackerbaugebiet,6I,1988-97,BoKa-ZH,14755.745752585,612.000543017241
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,11181.40237843,513.33255593116
9,9 - Extensives Wies- und Weideland,L,Lage im Relief,4,4 - Futterbaugebiet,9L,1988-97,BoKa-ZH (Einzelfall),10341.679063435,506.139203397988
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,4,4 - Futterbaugebiet,7N,1988-97,BoKa-ZH,30134.794135395,817.137716259815
9,9 - Extensives Wies- und Weideland,N,Hangneigung,4,4 - Futterbaugebiet,9N,2009,FFF-Revision 09 (BoKa-ZH),2595.4328477,257.305946081572
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,6177.940198945001,334.538919328656
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,143007.6710976,2364.55175769879
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,3735.26399568,279.82010442696804
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1982.311853815,228.031677898673
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,A,Bodenart,1,1 - Ackerbaugebiet,2A,1988-97,BoKa-ZH,10091.67394895,464.94289102753305
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),74.310351235,87.6867970556756
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,58595.0986815,1409.93015532797
7,7 - Gutes bis mässig gutes Wies- und Weideland,F,Fremdnässe,1,1 - Ackerbaugebiet,7F,1988-97,BoKa-ZH (Einzelfall),19523.27021723,823.713335756918
10,10 - Streueland,F,Fremdnässe,1,1 - Ackerbaugebiet,10F,1988-97,BoKa-ZH (Einzelfall),113640.005280155,1493.86301843858
5,5 - Futterbaubetonte Fruchtfolge,B,Klimatisches Nutzungsgebiet,3,3 - Übergangsgebiet futterbaubetont,5B,1988-97,BoKa-ZH,29022.500575985,1049.9776729016198
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH (Einzelfall),17286.532099335,704.8807178267731
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),25665.36358181,761.7148958118751
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1158.6206384,213.38511974835302
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,30757.54292528,1358.32245526331
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,40643.85428711,1662.2031399144303
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,17497.276998195,939.4362059154231
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,151.95288788,311.731843123016
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,7536.468727065,452.029524811009
5,5 - Futterbaubetonte Fruchtfolge,kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,5,2009,FFF-Revision 09,11535.58963955,432.81405611293104
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,7N,1988-97,BoKa-ZH,6465.3004775,349.889650286866
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",A,Bodenart,1,1 - Ackerbaugebiet,6A,1988-97,BoKa-ZH,24592.39961,1131.72573562854
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),186.363851205,79.5675006139056
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),306.43573295,109.13644934425501
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),1372.992968,188.492795788203
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),2972.665356,591.8256775754691
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),303.3175373,149.63078700487503
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,612.07224447,381.78395107328004
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),165.4829108,69.7326094396737
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,1,1 - Ackerbaugebiet,7R,2009,FFF-Revision 09 (BoKa-ZH),15895.73730122,1373.94946000086
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,1,1 - Ackerbaugebiet,7L,1988-97,BoKa-ZH (Einzelfall),3119.849431265,255.978898053022
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,5N,1988-97,BoKa-ZH,2762.63842644,453.329954343049
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,2,2 - Übergangsgebiet ackerbaubetont,2S,1988-97,BoKa-ZH,23256.534404175,651.0758527002041
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,9619.152064545,806.286649399245
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,7R,2009,FFF-Revision 09 (BoKa-ZH),1380.11632639,277.101092231057
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),2032.297922605,243.747832537019
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",N,Hangneigung,1,1 - Ackerbaugebiet,6N,1988-97,BoKa-ZH,28798.47809298,1104.77815335981
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,7N,1988-97,BoKa-ZH,16998.19777616,773.142230966291
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),667.3828425949999,113.592904348417
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),5.211207,23.617339629164096
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",F,Fremdnässe,1,1 - Ackerbaugebiet,6F,1988-97,BoKa-ZH,12176.220138095,949.451201381044
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,56784.521966845,1748.25101845554
9,9 - Extensives Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,9N,1988-97,BoKa-ZH,3329.43209797,364.155350283229
5,5 - Futterbaubetonte Fruchtfolge,kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,5,2009,FFF-Revision 09,23.536066675,38.040868214505494
5,5 - Futterbaubetonte Fruchtfolge,L,Lage im Relief,2,2 - Übergangsgebiet ackerbaubetont,5L,1988-97,BoKa-ZH (Einzelfall),28259.2278698,679.3694287940881
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),678.73630755,270.73225835181006
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,7481.41611569,350.79009892091
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,195.8104862,64.14537989845209
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),9383.298241085,389.61775823813804
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,2,2 - Übergangsgebiet ackerbaubetont,7L,1988-97,BoKa-ZH (Einzelfall),5644.32385801,325.957191620555
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,7N,2009,FFF-Revision 09 (BoKa-ZH),13703.55579841,571.864717747455
3,3 - Getreidebetonte Fruchtfolge 1. Güte,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,3N,2009,FFF-Revision 09 (BoKa-ZH),84200.98790999,2975.93125796923
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH (Einzelfall),35803.234465185,1463.04057456484
9,9 - Extensives Wies- und Weideland,L,Lage im Relief,4,4 - Futterbaugebiet,9L,1988-97,BoKa-ZH (Einzelfall),2705.04769135,321.484474781022
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,3001.3355914149997,331.86224511543605
7,7 - Gutes bis mässig gutes Wies- und Weideland,N,Hangneigung,3,3 - Übergangsgebiet futterbaubetont,7N,1988-97,BoKa-ZH,7317.24598299,462.12118787184204
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,5985.48378015,538.371066314829
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),2348.12428993,455.838126553805
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH (Einzelfall),49556.81677856,1370.05183868027
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1968.539579,366.44642413911805
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,287.831476,185.540141333695
