Datum; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Stampfenbachstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Schimmelstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Rosengartenstrasse; Zürich Heubeeribüel; Zürich Heubeeribüel
; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Stampfenbachstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Schimmelstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Rosengartenstrasse; Zch_Heubeeribüel; Zch_Heubeeribüel
; Ozon, höchstes Stundenmittel; Stickstoffdioxid; Feinstaub PM10; Lufttemperatur; Luftdruck; Kurzzeit-Belastungsindex; KBI Teilindex Ozon; KBI Teilindex Stickstoffdioxid; KBI Teilindex Feinstaub; Ozon, höchstes Stundenmittel; Stickstoffdioxid; Feinstaub PM10; Kurzzeit-Belastungsindex; KBI Teilindex Ozon; KBI Teilindex Stickstoffdioxid; KBI Teilindex Feinstaub; Ozon, höchstes Stundenmittel; Stickstoffdioxid; Feinstaub PM10; Kurzzeit-Belastungsindex; KBI Teilindex Ozon; KBI Teilindex Stickstoffdioxid; KBI Teilindex Feinstaub; Ozon, höchstes Stundenmittel; Stickstoffdioxid
; O3_max_h1; NO2; PM10; T; p; KBI; KBI_O3; KBI_NO2; KBI_PM10; O3_max_h1; NO2; PM10; KBI; KBI_O3; KBI_NO2; KBI_PM10; O3_max_h1; NO2; PM10; KBI; KBI_O3; KBI_NO2; KBI_PM10; O3_max_h1; NO2
; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1; d1
; µg/m3; µg/m3; µg/m3; °C; hPa; _nd; _nd; _nd; _nd; µg/m3; µg/m3; µg/m3; _nd; _nd; _nd; _nd; µg/m3; µg/m3; µg/m3; _nd; _nd; _nd; _nd; µg/m3; µg/m3
11.02.2018; 61.84; 20.82; 12.56; 2.43; 959.96; 1.00; 1.00; 1.00; 1.00; 61.48; 29.19; 12.99; 1.00; 1.00; 1.00; 1.00; 46.43; 39.33; 9.88; 1.00; 1.00; 1.00; 1.00; 65.36; 15.67
12.02.2018; 69.46; 32.79; 7.49; 1.62; 964.27; 1.00; 1.00; 1.00; 1.00; 60.46; 43.33; 7.83; 1.00; 1.00; 1.00; 1.00; 52.21; 51.15; 9.47; 1.00; 1.00; 1.00; 1.00; 73.30; 16.92
13.02.2018; 60.13; 48.39; 15.07; -0.14; 963.03; 1.00; 1.00; 1.00; 1.00; 51.58; 54.82; 17.77; 1.00; 1.00; 1.00; 1.00; 58.98; 51.15; 13.45; 1.00; 1.00; 1.00; 1.00; 71.50; 15.62
14.02.2018; 38.77; 65.94; 21.62; -0.23; 964.34; 2.00; 1.00; 2.00; 1.00; 36.20; 71.40; 24.68; 2.00; 1.00; 2.00; 1.00; 41.66; 67.68; 21.28; 2.00; 1.00; 2.00; 1.00; 68.94; 27.74
15.02.2018; 45.94; 63.29; 20.65; 1.07; 967.29; 2.00; 1.00; 2.00; 1.00; 47.05; 59.49; 18.83; 1.00; 1.00; 1.00; 1.00; 29.72; 78.88; 20.37; 2.00; 1.00; 2.00; 1.00; 60.77; 33.05
16.02.2018; 57.53; 48.42; 10.48; 5.75; 972.52; 1.00; 1.00; 1.00; 1.00; 47.90; 54.94; 11.55; 1.00; 1.00; 1.00; 1.00; 58.74; 52.59; 9.30; 1.00; 1.00; 1.00; 1.00; 78.86; 14.58
17.02.2018; 37.35; 31.26; 13.63; 3.72; 967.42; 1.00; 1.00; 1.00; 1.00; 33.18; 41.64; 14.37; 1.00; 1.00; 1.00; 1.00; 30.78; 40.75; 10.36; 1.00; 1.00; 1.00; 1.00; 45.18; 19.48
18.02.2018; 50.93; 27.01; 20.20; 1.40; 972.31; 1.00; 1.00; 1.00; 1.00; 43.71; 33.20; 20.44; 1.00; 1.00; 1.00; 1.00; 46.23; 33.34; 15.52; 1.00; 1.00; 1.00; 1.00; 54.68; 15.71
19.02.2018; 37.42; 44.99; 40.03; 1.37; 966.59; 2.00; 1.00; 1.00; 2.00; 30.13; 53.03; 38.03; 2.00; 1.00; 1.00; 2.00; 36.33; 51.68; 30.70; 1.00; 1.00; 1.00; 1.00; 43.93; 26.04
20.02.2018; 52.25; 39.51; NaN; 0.82; 963.13; NaN; 1.00; 1.00; NaN; 50.85; 43.43; 30.97; 1.00; 1.00; 1.00; 1.00; 54.35; 42.94; 23.76; 1.00; 1.00; 1.00; 1.00; 60.06; 20.39
21.02.2018; 67.40; 36.71; NaN; -0.21; 964.43; NaN; 1.00; 1.00; NaN; 60.90; 37.42; 38.47; 2.00; 1.00; 1.00; 2.00; 63.93; 35.64; 31.62; 1.00; 1.00; 1.00; 1.00; 74.63; 20.58
22.02.2018; 57.45; 36.12; NaN; -1.22; 961.02; NaN; 1.00; 1.00; NaN; 53.89; 36.18; 42.88; 2.00; 1.00; 1.00; 2.00; 55.74; 33.65; 34.73; 1.00; 1.00; 1.00; 1.00; 60.30; 21.05
23.02.2018; 61.08; 32.24; NaN; -1.35; 961.17; NaN; 1.00; 1.00; NaN; 59.57; 33.69; 37.00; 1.00; 1.00; 1.00; 1.00; 61.21; 32.11; 29.26; 1.00; 1.00; 1.00; 1.00; 62.78; 18.82
24.02.2018; 74.77; 21.89; 33.15; -0.48; 962.44; 1.00; 1.00; 1.00; 1.00; 66.42; 28.18; 33.39; 1.00; 1.00; 1.00; 1.00; 71.25; 25.85; 26.58; 1.00; 1.00; 1.00; 1.00; 81.50; 13.84
25.02.2018; 78.11; 16.70; 21.53; -4.37; 966.50; 1.00; 1.00; 1.00; 1.00; 64.60; 22.21; 22.13; 1.00; 1.00; 1.00; 1.00; 74.70; 19.73; 18.03; 1.00; 1.00; 1.00; 1.00; 81.67; 9.44
26.02.2018; 68.89; 25.11; 26.43; -7.84; 965.87; 1.00; 1.00; 1.00; 1.00; 66.00; 32.12; 27.14; 1.00; 1.00; 1.00; 1.00; 70.55; 26.50; 23.31; 1.00; 1.00; 1.00; 1.00; 75.02; 12.69
27.02.2018; 60.90; 30.66; 33.76; -7.94; 962.24; 1.00; 1.00; 1.00; 1.00; 56.48; 37.75; 35.09; 1.00; 1.00; 1.00; 1.00; 57.35; 34.66; 29.23; 1.00; 1.00; 1.00; 1.00; 68.29; 17.81
28.02.2018; 58.16; 38.14; 43.09; -6.62; 960.22; 2.00; 1.00; 1.00; 2.00; 50.27; 45.28; 44.58; 2.00; 1.00; 1.00; 2.00; 54.77; 37.10; 36.83; 1.00; 1.00; 1.00; 1.00; 68.61; 23.90
01.03.2018; 53.33; 43.63; 47.63; -4.70; 950.72; 2.00; 1.00; 1.00; 2.00; 45.61; 52.94; 48.24; 2.00; 1.00; 1.00; 2.00; 51.73; 49.53; 45.94; 2.00; 1.00; 1.00; 2.00; 59.19; 29.03
02.03.2018; 56.93; 55.23; 58.32; -2.73; 945.50; 3.00; 1.00; 1.00; 3.00; 48.20; 63.85; 57.79; 3.00; 1.00; 2.00; 3.00; 41.62; 68.88; 60.06; 3.00; 1.00; 2.00; 3.00; 69.49; 38.08
03.03.2018; 30.20; 54.86; 33.58; 0.25; 946.85; 1.00; 1.00; 1.00; 1.00; 25.86; 61.60; 35.02; 2.00; 1.00; 2.00; 1.00; 25.27; 62.31; 33.46; 2.00; 1.00; 2.00; 1.00; 44.58; 36.63
04.03.2018; 51.30; 43.83; 25.41; 4.46; 948.73; 1.00; 1.00; 1.00; 1.00; 36.08; 57.36; 27.21; 1.00; 1.00; 1.00; 1.00; 46.99; 52.03; 24.36; 1.00; 1.00; 1.00; 1.00; 71.45; 24.12
05.03.2018; 67.92; 50.49; 20.11; 7.33; 945.09; 1.00; 1.00; 1.00; 1.00; 67.16; 62.30; 23.75; 2.00; 1.00; 2.00; 1.00; 65.22; 51.51; 16.35; 1.00; 1.00; 1.00; 1.00; 88.72; 19.25
06.03.2018; 72.71; 39.75; 31.96; 6.11; 942.40; 1.00; 1.00; 1.00; 1.00; 61.61; 51.12; 32.08; 1.00; 1.00; 1.00; 1.00; 45.00; 52.60; 27.15; 1.00; 1.00; 1.00; 1.00; 78.53; 28.85
07.03.2018; 76.72; 23.23; 9.22; 6.07; 949.63; 1.00; 1.00; 1.00; 1.00; 76.02; 28.12; 9.10; 1.00; 1.00; 1.00; 1.00; 61.86; 47.16; 10.63; 1.00; 1.00; 1.00; 1.00; 80.00; 15.57
08.03.2018; 77.84; 40.93; 12.13; 7.12; 957.20; 1.00; 1.00; 1.00; 1.00; 78.68; 34.28; 7.52; 1.00; 1.00; 1.00; 1.00; 68.37; 55.27; 6.92; 1.00; 1.00; 1.00; 1.00; 84.49; 14.99
09.03.2018; 80.96; 46.74; 16.74; 9.51; 959.15; 1.00; 1.00; 1.00; 1.00; 74.05; 46.46; 12.10; 1.00; 1.00; 1.00; 1.00; 72.58; 67.83; 12.84; 2.00; 1.00; 2.00; 1.00; 83.03; 17.68
10.03.2018; 63.73; 47.85; 14.19; 9.39; 956.49; 1.00; 1.00; 1.00; 1.00; 55.74; 58.06; 15.72; 1.00; 1.00; 1.00; 1.00; 41.28; 65.57; 13.13; 2.00; 1.00; 2.00; 1.00; 81.71; 17.90
11.03.2018; 28.09; 44.13; 19.62; 8.22; 948.75; 1.00; 1.00; 1.00; 1.00; 22.67; 50.86; 22.53; 1.00; 1.00; 1.00; 1.00; 18.44; 50.72; 18.22; 1.00; 1.00; 1.00; 1.00; 67.01; 19.06
12.03.2018; 79.73; 29.02; 11.83; 9.34; 949.70; 1.00; 1.00; 1.00; 1.00; 74.25; 34.64; 11.29; 1.00; 1.00; 1.00; 1.00; 64.50; 46.76; 9.88; 1.00; 1.00; 1.00; 1.00; 85.17; 15.41
