"Jahr";"QuartierNr";"QuartierCode";"QuartierName";"qm_pr_1_Zi";"qm_pr_2_Zi";"qm_pr_3_Zi";"qm_pr_4_Zi";"qm_pr_5_Zi";"qm_pr_6_Zi";"qm_pr_7_Zi";"qm_pr_8um_Zi"
2012;11;"011";"Rathaus";0;12500;0;0;0;0;0;0
2012;12;"012";"Hochschulen";0;0;0;0;0;0;0;0
2012;13;"013";"Lindenhof";0;0;6473;0;0;0;0;0
2012;14;"014";"City";0;0;0;0;0;0;0;0
2012;21;"021";"Wollishofen";7931;13926;12955;10726;12192;19154;0;0
2012;23;"023";"Leimbach";0;0;8421;8403;0;0;0;0
2012;24;"024";"Enge";18837;14583;10815;15971;0;0;0;0
2012;31;"031";"Alt-Wiedikon";9357;0;6023;13740;7407;0;0;0
2012;33;"033";"Friesenberg";0;0;0;0;0;0;0;0
2012;34;"034";"Sihlfeld";0;8966;7897;11382;15773;0;10649;8306
2012;41;"041";"Werd";0;0;0;0;0;0;0;0
2012;42;"042";"Langstrasse";0;0;10871;11537;0;0;0;0
2012;44;"044";"Hard";6404;8646;7701;0;0;0;0;0
2012;51;"051";"Gewerbeschule";0;0;12010;15096;0;0;0;0
2012;52;"052";"Escher Wyss";0;14055;15491;16699;17459;16825;0;0
2012;61;"061";"Unterstrass";0;14079;13078;13182;14768;0;0;0
2012;63;"063";"Oberstrass";11250;16579;14290;15027;21099;12847;0;0
2012;71;"071";"Fluntern";17703;7533;16611;13777;13638;23160;27013;18386
2012;72;"072";"Hottingen";8000;11904;0;13263;13883;14198;0;0
2012;73;"073";"Hirslanden";0;15211;14659;14754;10166;14556;0;0
2012;74;"074";"Witikon";3615;6838;12220;11133;8980;1844;0;0
2012;81;"081";"Seefeld";23871;0;14893;13092;14400;0;0;0
2012;82;"082";"Mühlebach";14583;11186;16194;16539;12500;12890;0;0
2012;83;"083";"Weinegg";0;0;16000;11614;0;8193;0;0
2012;91;"091";"Albisrieden";12570;7222;7365;9760;8060;10414;0;0
2012;92;"092";"Altstetten";3939;6532;9387;7504;7847;6167;0;0
2012;101;"101";"Höngg";7659;9072;10414;9877;9654;0;0;0
2012;102;"102";"Wipkingen";0;6048;9433;8260;11097;0;0;0
2012;111;"111";"Affoltern";14138;5725;5396;7099;0;0;0;0
2012;115;"115";"Oerlikon";9778;9316;9999;8811;9835;11280;0;0
2012;119;"119";"Seebach";5540;6214;5863;6757;7255;6039;0;0
2012;121;"121";"Saatlen";0;5761;0;6818;5780;0;0;0
2012;122;"122";"Schwamendingen-Mitte";8381;7623;7932;7848;7357;0;0;0
2012;123;"123";"Hirzenbach";0;0;0;0;6091;0;0;0