"Jahr","QuarSort","QuarLang","KreisSort","KreisLang","ProjStatus","ProjStatusSort","ProjAnzGbd","ProjKosten","ProjRauminhalt","ProjAnzWhg","Whg_1_3_Zi","Whg_4plus_Zi"
2009,11,"Rathaus",1,"Kreis 1","Im Bau","6703",2,,17690,0,0,0
2009,12,"Hochschulen",1,"Kreis 1","Im Bau","6703",5,32000,42700,4,2,2
2009,14,"City",1,"Kreis 1","Bewilligt","6702",1,,135000,0,0,0
2009,14,"City",1,"Kreis 1","Im Bau","6703",1,,17000,0,0,0
2009,21,"Wollishofen",2,"Kreis 2","Bewilligt","6702",2,,8586,0,0,0
2009,21,"Wollishofen",2,"Kreis 2","Fertigerstellt","6704",14,40251,91913,78,31,47
2009,21,"Wollishofen",2,"Kreis 2","Im Bau","6703",11,36600,62022,73,30,43
2009,23,"Leimbach",2,"Kreis 2","Bewilligt","6702",2,,66533,81,74,7
2009,23,"Leimbach",2,"Kreis 2","Im Bau","6703",19,77400,108424,194,96,98
2009,24,"Enge",2,"Kreis 2","Bewilligt","6702",2,,10222,13,6,7
2009,24,"Enge",2,"Kreis 2","Im Bau","6703",4,30000,32300,14,7,7
2009,31,"Alt-Wiedikon",3,"Kreis 3","Bewilligt","6702",12,90500,127776,119,89,30
2009,31,"Alt-Wiedikon",3,"Kreis 3","Fertigerstellt","6704",4,15700,52099,0,0,0
2009,31,"Alt-Wiedikon",3,"Kreis 3","Im Bau","6703",22,413200,423372,247,140,107
2009,33,"Friesenberg",3,"Kreis 3","Bewilligt","6702",81,63490,113226,155,62,93
2009,33,"Friesenberg",3,"Kreis 3","Fertigerstellt","6704",15,34000,59654,114,43,71
2009,33,"Friesenberg",3,"Kreis 3","Im Bau","6703",2,,217273,0,0,0
2009,34,"Sihlfeld",3,"Kreis 3","Bewilligt","6702",23,77420,103515,154,36,118
2009,34,"Sihlfeld",3,"Kreis 3","Fertigerstellt","6704",4,10300,12828,27,15,12
2009,34,"Sihlfeld",3,"Kreis 3","Im Bau","6703",8,,90150,166,92,74
2009,41,"Werd",4,"Kreis 4","Fertigerstellt","6704",2,,13160,24,12,12
2009,41,"Werd",4,"Kreis 4","Im Bau","6703",1,,45200,0,0,0
2009,42,"Langstrasse",4,"Kreis 4","Bewilligt","6702",5,,229123,31,31,0
2009,42,"Langstrasse",4,"Kreis 4","Fertigerstellt","6704",1,,23206,0,0,0
2009,42,"Langstrasse",4,"Kreis 4","Im Bau","6703",7,254600,463280,8,0,8
2009,44,"Hard",4,"Kreis 4","Bewilligt","6702",2,,623282,119,115,4
2009,44,"Hard",4,"Kreis 4","Fertigerstellt","6704",2,,34583,0,0,0
2009,44,"Hard",4,"Kreis 4","Im Bau","6703",3,,54566,68,49,19
2009,51,"Gewerbeschule",5,"Kreis 5","Bewilligt","6702",3,,27992,39,18,21
2009,51,"Gewerbeschule",5,"Kreis 5","Fertigerstellt","6704",1,,4147,4,1,3
2009,51,"Gewerbeschule",5,"Kreis 5","Im Bau","6703",3,,53448,7,5,2
2009,52,"Escher Wyss",5,"Kreis 5","Bewilligt","6702",11,,316301,258,216,42
2009,52,"Escher Wyss",5,"Kreis 5","Fertigerstellt","6704",6,,48790,38,27,11
2009,52,"Escher Wyss",5,"Kreis 5","Im Bau","6703",23,,1662876,687,336,351
2009,61,"Unterstrass",6,"Kreis 6","Bewilligt","6702",1,,4180,8,5,3
2009,61,"Unterstrass",6,"Kreis 6","Fertigerstellt","6704",1,,192,0,0,0
2009,61,"Unterstrass",6,"Kreis 6","Im Bau","6703",19,74932,98264,138,39,99
2009,63,"Oberstrass",6,"Kreis 6","Bewilligt","6702",7,,19696,26,17,9
2009,63,"Oberstrass",6,"Kreis 6","Fertigerstellt","6704",4,,5665,5,1,4
2009,63,"Oberstrass",6,"Kreis 6","Im Bau","6703",9,52837,57992,29,18,11
2009,71,"Fluntern",7,"Kreis 7","Bewilligt","6702",6,,58865,23,9,14
2009,71,"Fluntern",7,"Kreis 7","Fertigerstellt","6704",2,,7800,7,2,5
2009,71,"Fluntern",7,"Kreis 7","Im Bau","6703",30,118828,113384,111,63,48
2009,72,"Hottingen",7,"Kreis 7","Bewilligt","6702",8,14430,11382,8,2,6
2009,72,"Hottingen",7,"Kreis 7","Fertigerstellt","6704",6,56800,63920,67,61,6
2009,72,"Hottingen",7,"Kreis 7","Im Bau","6703",5,,18170,7,0,7
2009,73,"Hirslanden",7,"Kreis 7","Bewilligt","6702",3,,11100,17,10,7
2009,73,"Hirslanden",7,"Kreis 7","Fertigerstellt","6704",2,,1917,1,1,0
2009,73,"Hirslanden",7,"Kreis 7","Im Bau","6703",12,27480,33054,39,18,21
2009,74,"Witikon",7,"Kreis 7","Bewilligt","6702",12,35937,49788,57,25,32
2009,74,"Witikon",7,"Kreis 7","Fertigerstellt","6704",9,20207,27175,34,6,28
2009,74,"Witikon",7,"Kreis 7","Im Bau","6703",2,,6511,7,2,5
2009,81,"Seefeld",8,"Kreis 8","Bewilligt","6702",4,28200,33259,57,53,4
2009,81,"Seefeld",8,"Kreis 8","Fertigerstellt","6704",3,,16626,20,17,3
2009,81,"Seefeld",8,"Kreis 8","Im Bau","6703",6,,30216,54,43,11
2009,82,"Mühlebach",8,"Kreis 8","Bewilligt","6702",7,33400,32456,39,18,21
2009,82,"Mühlebach",8,"Kreis 8","Fertigerstellt","6704",4,31600,43880,89,84,5
2009,82,"Mühlebach",8,"Kreis 8","Im Bau","6703",11,47572,45214,51,30,21
2009,83,"Weinegg",8,"Kreis 8","Bewilligt","6702",7,34000,63500,29,4,25
2009,83,"Weinegg",8,"Kreis 8","Fertigerstellt","6704",3,,2745,2,0,2
2009,83,"Weinegg",8,"Kreis 8","Im Bau","6703",3,,19865,0,0,0
2009,91,"Albisrieden",9,"Kreis 9","Bewilligt","6702",17,93579,114443,126,64,62
2009,91,"Albisrieden",9,"Kreis 9","Fertigerstellt","6704",19,108083,198134,228,163,65
2009,91,"Albisrieden",9,"Kreis 9","Im Bau","6703",33,165943,236751,380,176,204
2009,92,"Altstetten",9,"Kreis 9","Bewilligt","6702",19,88712,135796,174,72,102
2009,92,"Altstetten",9,"Kreis 9","Fertigerstellt","6704",5,23210,30137,15,11,4
2009,92,"Altstetten",9,"Kreis 9","Im Bau","6703",55,371022,421297,594,438,156
2009,101,"Höngg",10,"Kreis 10","Bewilligt","6702",34,147160,214206,337,143,194
2009,101,"Höngg",10,"Kreis 10","Fertigerstellt","6704",21,,150387,114,46,68
2009,101,"Höngg",10,"Kreis 10","Im Bau","6703",9,129530,36183,34,15,19
2009,102,"Wipkingen",10,"Kreis 10","Bewilligt","6702",16,80800,110787,193,129,64
2009,102,"Wipkingen",10,"Kreis 10","Fertigerstellt","6704",1,,2800,4,3,1
2009,102,"Wipkingen",10,"Kreis 10","Im Bau","6703",14,55952,57204,58,33,25
2009,111,"Affoltern",11,"Kreis 11","Bewilligt","6702",26,104490,170931,296,213,83
2009,111,"Affoltern",11,"Kreis 11","Fertigerstellt","6704",18,78800,124179,171,80,91
2009,111,"Affoltern",11,"Kreis 11","Im Bau","6703",66,363150,514386,831,406,425
2009,115,"Oerlikon",11,"Kreis 11","Bewilligt","6702",12,41559,60697,101,56,45
2009,115,"Oerlikon",11,"Kreis 11","Fertigerstellt","6704",2,,23100,10,3,7
2009,115,"Oerlikon",11,"Kreis 11","Im Bau","6703",11,93500,227314,30,16,14
2009,119,"Seebach",11,"Kreis 11","Bewilligt","6702",36,359590,550336,368,278,90
2009,119,"Seebach",11,"Kreis 11","Fertigerstellt","6704",15,,276837,165,78,87
2009,119,"Seebach",11,"Kreis 11","Im Bau","6703",37,253190,372601,345,220,125
2009,121,"Saatlen",12,"Kreis 12","Bewilligt","6702",2,,61600,0,0,0
2009,121,"Saatlen",12,"Kreis 12","Fertigerstellt","6704",6,14000,30000,48,12,36
2009,122,"Schwamendingen-Mitte",12,"Kreis 12","Bewilligt","6702",5,12000,31950,42,12,30
2009,122,"Schwamendingen-Mitte",12,"Kreis 12","Fertigerstellt","6704",3,,26939,51,35,16
2009,122,"Schwamendingen-Mitte",12,"Kreis 12","Im Bau","6703",1,,1552,0,0,0
2009,123,"Hirzenbach",12,"Kreis 12","Bewilligt","6702",2,,60109,33,33,0
2009,123,"Hirzenbach",12,"Kreis 12","Fertigerstellt","6704",3,,29960,62,55,7
2010,11,"Rathaus",1,"Kreis 1","Im Bau","6703",2,,17690,0,0,0
2010,12,"Hochschulen",1,"Kreis 1","Fertigerstellt","6704",1,,2300,4,2,2
2010,12,"Hochschulen",1,"Kreis 1","Im Bau","6703",4,,40400,0,0,0
2010,14,"City",1,"Kreis 1","Bewilligt","6702",1,,135000,0,0,0
2010,14,"City",1,"Kreis 1","Fertigerstellt","6704",1,,17000,0,0,0
2010,21,"Wollishofen",2,"Kreis 2","Bewilligt","6702",4,16061,18115,21,13,8
2010,21,"Wollishofen",2,"Kreis 2","Fertigerstellt","6704",11,32885,56899,66,31,35
2010,21,"Wollishofen",2,"Kreis 2","Im Bau","6703",7,36750,57962,58,32,26
2010,23,"Leimbach",2,"Kreis 2","Bewilligt","6702",11,90000,127474,205,156,49
2010,23,"Leimbach",2,"Kreis 2","Fertigerstellt","6704",6,100,21599,36,18,18
2010,23,"Leimbach",2,"Kreis 2","Im Bau","6703",4,32300,21600,33,8,25
2010,24,"Enge",2,"Kreis 2","Bewilligt","6702",18,49500,94736,161,101,60
2010,24,"Enge",2,"Kreis 2","Im Bau","6703",5,36930,35459,15,8,7
2010,31,"Alt-Wiedikon",3,"Kreis 3","Bewilligt","6702",2,,15800,24,21,3
2010,31,"Alt-Wiedikon",3,"Kreis 3","Fertigerstellt","6704",12,55100,100716,124,71,53
2010,31,"Alt-Wiedikon",3,"Kreis 3","Im Bau","6703",22,445100,444631,318,192,126
2010,33,"Friesenberg",3,"Kreis 3","Im Bau","6703",86,491394,348999,160,62,98
2010,34,"Sihlfeld",3,"Kreis 3","Bewilligt","6702",4,,40346,25,21,4
2010,34,"Sihlfeld",3,"Kreis 3","Im Bau","6703",29,136357,180555,320,127,193
2010,41,"Werd",4,"Kreis 4","Bewilligt","6702",1,,664,0,0,0
2010,41,"Werd",4,"Kreis 4","Im Bau","6703",2,,45200,0,0,0
2010,42,"Langstrasse",4,"Kreis 4","Bewilligt","6702",3,,145135,93,70,23
2010,42,"Langstrasse",4,"Kreis 4","Im Bau","6703",12,417090,692403,39,31,8
2010,44,"Hard",4,"Kreis 4","Bewilligt","6702",1,,552282,0,0,0
2010,44,"Hard",4,"Kreis 4","Fertigerstellt","6704",3,,54566,68,49,19
2010,44,"Hard",4,"Kreis 4","Im Bau","6703",2,,71031,119,115,4
2010,51,"Gewerbeschule",5,"Kreis 5","Fertigerstellt","6704",41,42400,49748,0,0,0
2010,51,"Gewerbeschule",5,"Kreis 5","Im Bau","6703",3,,15557,24,16,8
2010,52,"Escher Wyss",5,"Kreis 5","Bewilligt","6702",1,,63176,51,39,12
2010,52,"Escher Wyss",5,"Kreis 5","Im Bau","6703",28,,1899504,881,534,347
2010,61,"Unterstrass",6,"Kreis 6","Bewilligt","6702",21,67320,85602,104,78,26
2010,61,"Unterstrass",6,"Kreis 6","Fertigerstellt","6704",10,41880,37510,63,18,45
2010,61,"Unterstrass",6,"Kreis 6","Im Bau","6703",15,47502,58284,91,33,58
2010,63,"Oberstrass",6,"Kreis 6","Bewilligt","6702",4,80325,87590,10,6,4
2010,63,"Oberstrass",6,"Kreis 6","Fertigerstellt","6704",6,43235,43342,11,11,0
2010,63,"Oberstrass",6,"Kreis 6","Im Bau","6703",10,34600,34346,37,21,16
2010,71,"Fluntern",7,"Kreis 7","Bewilligt","6702",9,68391,90463,24,11,13
2010,71,"Fluntern",7,"Kreis 7","Fertigerstellt","6704",11,23920,28679,33,30,3
2010,71,"Fluntern",7,"Kreis 7","Im Bau","6703",20,93308,93332,80,31,49
2010,72,"Hottingen",7,"Kreis 7","Bewilligt","6702",10,43160,33886,19,14,5
2010,72,"Hottingen",7,"Kreis 7","Fertigerstellt","6704",3,,7563,3,2,1
2010,72,"Hottingen",7,"Kreis 7","Im Bau","6703",5,10400,8107,6,0,6
2010,73,"Hirslanden",7,"Kreis 7","Bewilligt","6702",4,10211,13723,20,11,9
2010,73,"Hirslanden",7,"Kreis 7","Fertigerstellt","6704",7,,17916,17,4,13
2010,73,"Hirslanden",7,"Kreis 7","Im Bau","6703",5,12230,14790,22,12,10
2010,74,"Witikon",7,"Kreis 7","Bewilligt","6702",14,34017,43170,53,21,32
2010,74,"Witikon",7,"Kreis 7","Im Bau","6703",12,36520,37553,47,21,26
2010,81,"Seefeld",8,"Kreis 8","Bewilligt","6702",4,,25845,42,38,4
2010,81,"Seefeld",8,"Kreis 8","Fertigerstellt","6704",5,16490,16616,23,9,14
2010,81,"Seefeld",8,"Kreis 8","Im Bau","6703",4,,37310,70,68,2
2010,82,"Mühlebach",8,"Kreis 8","Bewilligt","6702",2,,20000,19,14,5
2010,82,"Mühlebach",8,"Kreis 8","Fertigerstellt","6704",3,,5747,3,0,3
2010,82,"Mühlebach",8,"Kreis 8","Im Bau","6703",17,106800,101237,89,43,46
2010,83,"Weinegg",8,"Kreis 8","Bewilligt","6702",7,31400,53000,29,4,25
2010,83,"Weinegg",8,"Kreis 8","Fertigerstellt","6704",1,,15000,0,0,0
2010,83,"Weinegg",8,"Kreis 8","Im Bau","6703",2,,4865,0,0,0
2010,91,"Albisrieden",9,"Kreis 9","Bewilligt","6702",15,36510,48766,81,34,47
2010,91,"Albisrieden",9,"Kreis 9","Fertigerstellt","6704",10,21610,31255,37,20,17
2010,91,"Albisrieden",9,"Kreis 9","Im Bau","6703",39,254163,320781,478,229,249
2010,92,"Altstetten",9,"Kreis 9","Bewilligt","6702",22,223780,366718,521,424,97
2010,92,"Altstetten",9,"Kreis 9","Fertigerstellt","6704",36,120192,163178,264,180,84
2010,92,"Altstetten",9,"Kreis 9","Im Bau","6703",43,309240,305227,427,317,110
2010,101,"Höngg",10,"Kreis 10","Bewilligt","6702",31,137100,193310,310,137,173
2010,101,"Höngg",10,"Kreis 10","Fertigerstellt","6704",5,10700,13249,21,12,9
2010,101,"Höngg",10,"Kreis 10","Im Bau","6703",19,158901,73371,85,40,45
2010,102,"Wipkingen",10,"Kreis 10","Bewilligt","6702",21,148500,171441,192,119,73
2010,102,"Wipkingen",10,"Kreis 10","Fertigerstellt","6704",10,43452,43118,39,20,19
2010,102,"Wipkingen",10,"Kreis 10","Im Bau","6703",10,22020,27485,39,23,16
2010,111,"Affoltern",11,"Kreis 11","Bewilligt","6702",9,27045,40836,71,53,18
2010,111,"Affoltern",11,"Kreis 11","Fertigerstellt","6704",24,72850,117741,204,98,106
2010,111,"Affoltern",11,"Kreis 11","Im Bau","6703",69,390340,554708,865,473,392
2010,115,"Oerlikon",11,"Kreis 11","Bewilligt","6702",10,49570,65575,105,83,22
2010,115,"Oerlikon",11,"Kreis 11","Fertigerstellt","6704",10,43200,129153,31,19,12
2010,115,"Oerlikon",11,"Kreis 11","Im Bau","6703",18,110489,196847,149,85,64
2010,119,"Seebach",11,"Kreis 11","Bewilligt","6702",22,178685,351669,135,89,46
2010,119,"Seebach",11,"Kreis 11","Fertigerstellt","6704",32,66310,120453,158,72,86
2010,119,"Seebach",11,"Kreis 11","Im Bau","6703",42,402240,550005,499,358,141
2010,121,"Saatlen",12,"Kreis 12","Bewilligt","6702",1,,60000,0,0,0
2010,121,"Saatlen",12,"Kreis 12","Fertigerstellt","6704",1,,20,0,0,0
2010,122,"Schwamendingen-Mitte",12,"Kreis 12","Bewilligt","6702",10,,96267,148,104,44
2010,122,"Schwamendingen-Mitte",12,"Kreis 12","Fertigerstellt","6704",1,,1552,0,0,0
2010,123,"Hirzenbach",12,"Kreis 12","Bewilligt","6702",35,197000,290719,395,298,97
2011,11,"Rathaus",1,"Kreis 1","Fertigerstellt","6704",2,,17690,0,0,0
2011,12,"Hochschulen",1,"Kreis 1","Im Bau","6703",5,,45573,0,0,0
2011,14,"City",1,"Kreis 1","Bewilligt","6702",1,,135000,0,0,0
2011,14,"City",1,"Kreis 1","Im Bau","6703",1,,3848,0,0,0
2011,21,"Wollishofen",2,"Kreis 2","Bewilligt","6702",24,63011,76746,109,63,46
2011,21,"Wollishofen",2,"Kreis 2","Fertigerstellt","6704",3,,11172,25,21,4
2011,21,"Wollishofen",2,"Kreis 2","Im Bau","6703",9,41220,63689,54,24,30
2011,23,"Leimbach",2,"Kreis 2","Bewilligt","6702",5,44950,71888,101,99,2
2011,23,"Leimbach",2,"Kreis 2","Fertigerstellt","6704",5,33540,22475,29,9,20
2011,23,"Leimbach",2,"Kreis 2","Im Bau","6703",10,68200,65224,140,92,48
2011,24,"Enge",2,"Kreis 2","Bewilligt","6702",18,162510,159353,161,120,41
2011,24,"Enge",2,"Kreis 2","Fertigerstellt","6704",2,,23635,0,0,0
2011,24,"Enge",2,"Kreis 2","Im Bau","6703",7,25500,23826,40,21,19
2011,31,"Alt-Wiedikon",3,"Kreis 3","Bewilligt","6702",7,,142048,36,16,20
2011,31,"Alt-Wiedikon",3,"Kreis 3","Fertigerstellt","6704",10,88100,108653,137,71,66
2011,31,"Alt-Wiedikon",3,"Kreis 3","Im Bau","6703",15,370700,354265,335,288,47
2011,33,"Friesenberg",3,"Kreis 3","Fertigerstellt","6704",1,,4400,5,0,5
2011,33,"Friesenberg",3,"Kreis 3","Im Bau","6703",87,496044,349393,158,65,93
2011,34,"Sihlfeld",3,"Kreis 3","Bewilligt","6702",3,,16030,28,28,0
2011,34,"Sihlfeld",3,"Kreis 3","Fertigerstellt","6704",2,,35000,85,32,53
2011,34,"Sihlfeld",3,"Kreis 3","Im Bau","6703",30,144321,181651,269,84,185
2011,41,"Werd",4,"Kreis 4","Bewilligt","6702",6,,124776,129,83,46
2011,41,"Werd",4,"Kreis 4","Fertigerstellt","6704",1,,516,0,0,0
2011,41,"Werd",4,"Kreis 4","Im Bau","6703",2,,45200,0,0,0
2011,42,"Langstrasse",4,"Kreis 4","Bewilligt","6702",10,259250,302414,238,166,72
2011,42,"Langstrasse",4,"Kreis 4","Fertigerstellt","6704",2,,4900,8,4,4
2011,42,"Langstrasse",4,"Kreis 4","Im Bau","6703",12,432190,714064,60,53,7
2011,44,"Hard",4,"Kreis 4","Bewilligt","6702",1,,552282,0,0,0
2011,44,"Hard",4,"Kreis 4","Fertigerstellt","6704",1,,33,0,0,0
2011,44,"Hard",4,"Kreis 4","Im Bau","6703",1,,71000,119,115,4
2011,51,"Gewerbeschule",5,"Kreis 5","Bewilligt","6702",1,,18884,22,16,6
2011,51,"Gewerbeschule",5,"Kreis 5","Fertigerstellt","6704",2,,14788,27,22,5
2011,52,"Escher Wyss",5,"Kreis 5","Bewilligt","6702",8,,130800,211,161,50
2011,52,"Escher Wyss",5,"Kreis 5","Fertigerstellt","6704",7,,600136,51,22,29
2011,52,"Escher Wyss",5,"Kreis 5","Im Bau","6703",37,915444,1214121,815,628,187
2011,61,"Unterstrass",6,"Kreis 6","Bewilligt","6702",18,,75498,120,106,14
2011,61,"Unterstrass",6,"Kreis 6","Fertigerstellt","6704",15,48902,56848,87,30,57
2011,61,"Unterstrass",6,"Kreis 6","Im Bau","6703",14,43460,66669,100,66,34
2011,63,"Oberstrass",6,"Kreis 6","Bewilligt","6702",2,,9730,7,4,3
2011,63,"Oberstrass",6,"Kreis 6","Fertigerstellt","6704",4,13600,13773,13,7,6
2011,63,"Oberstrass",6,"Kreis 6","Im Bau","6703",10,104260,102125,30,18,12
2011,71,"Fluntern",7,"Kreis 7","Bewilligt","6702",8,30954,32173,33,14,19
2011,71,"Fluntern",7,"Kreis 7","Fertigerstellt","6704",20,86808,89108,73,29,44
2011,71,"Fluntern",7,"Kreis 7","Im Bau","6703",9,62900,85464,17,4,13
2011,72,"Hottingen",7,"Kreis 7","Bewilligt","6702",5,27900,25590,16,7,9
2011,72,"Hottingen",7,"Kreis 7","Fertigerstellt","6704",5,10400,8107,7,1,6
2011,72,"Hottingen",7,"Kreis 7","Im Bau","6703",6,,15824,13,12,1
2011,73,"Hirslanden",7,"Kreis 7","Bewilligt","6702",7,17200,24813,35,30,5
2011,73,"Hirslanden",7,"Kreis 7","Fertigerstellt","6704",6,12380,14957,22,14,8
2011,73,"Hirslanden",7,"Kreis 7","Im Bau","6703",2,,2271,1,0,1
2011,74,"Witikon",7,"Kreis 7","Bewilligt","6702",27,66842,70991,89,44,45
2011,74,"Witikon",7,"Kreis 7","Fertigerstellt","6704",10,33020,32288,44,21,23
2011,74,"Witikon",7,"Kreis 7","Im Bau","6703",9,24240,22575,28,8,20
2011,81,"Seefeld",8,"Kreis 8","Bewilligt","6702",2,,13178,8,6,2
2011,81,"Seefeld",8,"Kreis 8","Fertigerstellt","6704",2,,24030,40,33,7
2011,81,"Seefeld",8,"Kreis 8","Im Bau","6703",4,,27395,50,48,2
2011,82,"Mühlebach",8,"Kreis 8","Bewilligt","6702",5,,27769,34,24,10
2011,82,"Mühlebach",8,"Kreis 8","Fertigerstellt","6704",7,33600,29363,37,24,13
2011,82,"Mühlebach",8,"Kreis 8","Im Bau","6703",11,71000,111188,70,22,48
2011,83,"Weinegg",8,"Kreis 8","Bewilligt","6702",13,43800,63754,50,7,43
2011,83,"Weinegg",8,"Kreis 8","Fertigerstellt","6704",6,,11394,0,0,0
2011,83,"Weinegg",8,"Kreis 8","Im Bau","6703",3,,9195,10,6,4
2011,91,"Albisrieden",9,"Kreis 9","Bewilligt","6702",9,18191,25533,38,12,26
2011,91,"Albisrieden",9,"Kreis 9","Fertigerstellt","6704",19,86030,95553,178,72,106
2011,91,"Albisrieden",9,"Kreis 9","Im Bau","6703",34,203553,340066,521,258,263
2011,92,"Altstetten",9,"Kreis 9","Bewilligt","6702",24,284237,419040,427,326,101
2011,92,"Altstetten",9,"Kreis 9","Fertigerstellt","6704",44,272485,281511,373,304,69
2011,92,"Altstetten",9,"Kreis 9","Im Bau","6703",14,154600,173893,147,125,22
2011,101,"Höngg",10,"Kreis 10","Bewilligt","6702",36,180500,254887,420,193,227
2011,101,"Höngg",10,"Kreis 10","Fertigerstellt","6704",18,47451,55948,72,30,42
2011,101,"Höngg",10,"Kreis 10","Im Bau","6703",9,140127,71581,23,17,6
2011,102,"Wipkingen",10,"Kreis 10","Bewilligt","6702",17,135100,154407,173,117,56
2011,102,"Wipkingen",10,"Kreis 10","Fertigerstellt","6704",6,9020,11991,20,12,8
2011,102,"Wipkingen",10,"Kreis 10","Im Bau","6703",9,33376,33399,47,22,25
2011,111,"Affoltern",11,"Kreis 11","Bewilligt","6702",5,40700,48114,50,10,40
2011,111,"Affoltern",11,"Kreis 11","Fertigerstellt","6704",57,305690,384058,662,373,289
2011,111,"Affoltern",11,"Kreis 11","Im Bau","6703",37,165595,238872,375,235,140
2011,115,"Oerlikon",11,"Kreis 11","Bewilligt","6702",13,52925,61579,93,60,33
2011,115,"Oerlikon",11,"Kreis 11","Fertigerstellt","6704",20,107480,167652,119,67,52
2011,115,"Oerlikon",11,"Kreis 11","Im Bau","6703",16,76299,103436,141,91,50
2011,119,"Seebach",11,"Kreis 11","Bewilligt","6702",19,132100,193159,362,274,88
2011,119,"Seebach",11,"Kreis 11","Fertigerstellt","6704",17,85566,199065,193,156,37
2011,119,"Seebach",11,"Kreis 11","Im Bau","6703",59,632756,817844,696,511,185
2011,121,"Saatlen",12,"Kreis 12","Bewilligt","6702",24,158050,270355,393,163,230
2011,121,"Saatlen",12,"Kreis 12","Im Bau","6703",10,97064,101078,69,31,38
2011,122,"Schwamendingen-Mitte",12,"Kreis 12","Bewilligt","6702",10,19964,24380,59,54,5
2011,122,"Schwamendingen-Mitte",12,"Kreis 12","Im Bau","6703",12,59000,96267,148,104,44
2011,123,"Hirzenbach",12,"Kreis 12","Bewilligt","6702",44,183185,306610,474,360,114
2011,123,"Hirzenbach",12,"Kreis 12","Im Bau","6703",7,78800,95120,103,77,26
2012,11,"Rathaus",1,"Kreis 1","Bewilligt","6702",1,,9104,2,0,2
