"Jahr";"QuartierNr";"QuartierCode";"QuartierName";"qm_pr_u50";"qm_pr_50-75";"qm_pr_76-100";"qm_pr_101-125";"qm_pr_126-150";"qm_prqm_151-175";"qm_pr_176-200";"qm_pr_201-250";"qm_pr_250um"
2012;11;"011";"Rathaus";0;12500;0;0;0;0;0;0;0
2012;12;"012";"Hochschulen";0;0;0;0;0;0;0;0;0
2012;13;"013";"Lindenhof";0;0;6473;0;0;0;0;0;0
2012;14;"014";"City";0;0;0;0;0;0;0;0;0
2012;21;"021";"Wollishofen";5000;12449;11572;11627;12500;11961;0;19154;0
2012;23;"023";"Leimbach";0;0;8421;8403;0;0;0;0;0
2012;24;"024";"Enge";8621;14583;16421;0;13475;0;0;0;0
2012;31;"031";"Alt-Wiedikon";9357;8200;5772;0;13740;0;7407;0;0
2012;33;"033";"Friesenberg";0;0;0;0;0;0;0;0;0
2012;34;"034";"Sihlfeld";0;7979;9346;16000;7208;0;13272;8306;0
2012;41;"041";"Werd";0;0;0;0;0;0;0;0;0
2012;42;"042";"Langstrasse";0;9211;9412;12879;0;0;0;12344;0
2012;44;"044";"Hard";8584;5750;9026;0;0;0;0;0;0
2012;51;"051";"Gewerbeschule";0;15096;0;12010;0;0;0;0;0
2012;52;"052";"Escher Wyss";0;0;13252;14812;14151;13650;16902;17813;17348
2012;61;"061";"Unterstrass";0;14498;13642;12805;14337;0;0;0;0
2012;63;"063";"Oberstrass";11250;12518;15982;17400;16844;12121;22694;0;12847
2012;71;"071";"Fluntern";17703;7533;13982;11520;15565;37500;0;14139;21708
2012;72;"072";"Hottingen";8000;11904;0;14870;13883;14254;11940;16010;0
2012;73;"073";"Hirslanden";0;15211;17462;11799;9924;13681;15323;0;0
2012;74;"074";"Witikon";4398;0;9757;7783;10394;8468;13463;1844;0
2012;81;"081";"Seefeld";23871;14306;12078;14400;16912;0;0;0;0
2012;82;"082";"Mühlebach";14583;13346;12246;12338;15344;21512;13879;14468;0
2012;83;"083";"Weinegg";0;16000;19140;9975;10257;8193;0;0;0
2012;91;"091";"Albisrieden";12570;9524;8162;7852;9255;10595;0;0;0
2012;92;"092";"Altstetten";3939;7753;6535;8130;6389;0;0;0;0
2012;101;"101";"Höngg";8195;9478;8552;11836;10568;7434;9657;0;0
2012;102;"102";"Wipkingen";0;0;8734;8850;10621;9961;0;0;0
2012;111;"111";"Affoltern";7748;5921;5260;6532;7775;0;0;0;0
2012;115;"115";"Oerlikon";9790;9132;10540;8643;9060;9653;0;12168;0
2012;119;"119";"Seebach";5400;6577;5467;7076;7899;5916;9167;0;0
2012;121;"121";"Saatlen";0;0;5761;0;6282;0;0;0;0
2012;122;"122";"Schwamendingen-Mitte";0;6145;6261;7685;7904;10636;9158;0;0
2012;123;"123";"Hirzenbach";0;0;0;6434;5769;0;0;0;0